country,spend_usd_bn,gdp_share_pct
Germany,97.7,2.12
United Kingdom,82.1,2.33
France,64.3,2.06
Italy,33.4,1.49
Poland,33.0,4.12
Netherlands,27.0,2.05
Spain,23.6,1.28
Sweden,14.8,2.14
Turkey,16.5,2.09
Norway,11.5,2.20
Belgium,10.5,1.30
Denmark,11.4,2.37
Finland,8.0,2.41
Romania,9.2,2.25
Czech Republic,6.4,2.10
Greece,7.2,3.08
Portugal,5.4,1.55
Hungary,4.3,2.11
Slovakia,3.0,2.00
Bulgaria,2.4,2.18
