country,private_ai_investment_usd_bn
United States,67.2
China,7.8
United Kingdom,3.8
United Arab Emirates,3.0
Canada,2.6
Israel,2.0
Germany,2.0
France,1.9
Korea,1.4
India,1.4
Sweden,0.9
Singapore,0.8
Australia,0.6
Netherlands,0.5
Switzerland,0.5
